Fair Wage Schedule for Federal Construction Contracts,,,,
,,,,
Province,Area Zone,Classes,Occupation,Wage Rate per Hour
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Elevator constructor Trainee 1 (0 to 1,200 hours)",$16.20
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Floor coverer,$20.25
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Floor coverer Trainee 2 (1,201 to 2,400 hours)",$16.20
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Floor coverer Trainee 1 (0 to 1,200 hours)",$12.15
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Insulator,$20.79
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Insulator Trainee 2 (1,201 to 2,400 hours)",$16.63
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Insulator Trainee 1 (0 to 1,200 hours)",$12.47
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Specialty labourer (assisting bricklayer),$17.87
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 2 (1,201 to 2,400 hours)",$14.30
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Specialty labourer (assisting bricklayer) Trainee 1 (0 to 1,200 hours)",$10.72
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,General construction labourer,$17.01
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- General construction labourer Trainee 2 (1,201 to 2,400 hours)",$13.61
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- General construction labourer Trainee 1 (0 to 1,200 hours)",$10.21
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"Marble, tile and terrazzo",$19.17
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 2 (1,201 to 2,400 hours)",$15.34
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Marble, tile and terrazzo Trainee 1 (0 to 1,200 hours)",$11.50
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Plasterer,$20.07
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Plasterer Trainee 2 (1,201 to 2,400 hours)",$16.06
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Plasterer Trainee 1 (0 to 1,200 hours)",$12.04
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Pre-fabricated metal building erector,$21.60
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 2 (1,201 to 2,400 hours)",$17.28
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Pre-fabricated metal building erector Trainee 1 (0 to 1,200 hours)",$12.96
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"Sheeter, decker and cladder",$23.36
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 2 (1,201 to 2,400 hours)",$18.69
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Sheeter, decker and cladder Trainee 1 (0 to 1,200 hours)",$14.02
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,Scaffolder,$22.05
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Scaffolder Trainee 2 (1,201 to 2,400 hours)",$17.64
Manitoba,Outside Winnipeg Area,Part 2: Skilled People,"- Scaffolder Trainee 1 (0 to 1,200 hours)",$13.23
Manitoba,Outside Winnipeg Area,Part 3: Other workers,Construction worker,$10.98
Manitoba,Outside Winnipeg Area,Part 3: Other workers,Heavy construction sector -Mobile crane operator working on heavy construction,$17.70
Manitoba,Outside Winnipeg Area,Part 3: Other workers,Heavy construction sector -Heavy duty mechanic or welder working on heavy equipment,$16.20
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Operator of a dragline, clam shell, shovel, hydraulic excavator, pile driver and other equipment requiring similar skills",$16.00
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Plant operator, operator of paving machine, dozer, loader, loader backhoe, grader, scraper, hydro excavator, tractor with controlled attachments, and other equipment requiring similar skills",$14.25
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Truck operator of trucks with four or more axles, fuel truck, distribution truck, truck with hydraulic boom hoist",$14.00
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Truck operator of trucks with less than four axles and more than 2,500 kgs",$13.20
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Operator of light trucks (less than 2,500 kgs) ride-on/tractor-pulled compaction equipment and other equipment requiring similar skills",$12.40
Manitoba,Outside Winnipeg Area,Part 3: Other workers,"Heavy construction sector -Skilled labourer including concrete finisher, pipelayer, screedman and jobs requiring similar skills in the heavy construction industry",$12.80
Manitoba,Outside Winnipeg Area,Part 3: Other workers,Heavy construction sector -General labourer in heavy construction industry not otherwise classified,$11.40
